469937,Wrap Around Patio With City Lights & Mountain View,33.791858,-118.161654,"Signal Hill, CA, USA",15,4.9,96,,,,195,,30,3,1,1,condo,Yes,2013,Within 12 hours,100%,"June 7, 2017",condo,2,750,state,building,Long Beach
1048265,Penthouse Level Condo In Westside of LA W/ Radiant Sunset Views & Ocean Breezes,,,"Fox Hills, Culver City, CA, USA",0,,86,100,,,50,10.0%,,2,1,2,condo,No,2017,Within 12 hours,100%,"April 28, 2017",condo,6,1100,,building,Long Beach,CA
734871,Year-Round Back Unit Getaway,33.6204609,-117.9385777,"Balboa Peninsula, Newport Beach, CA, USA",9,4.6,225,,,,,,0,4,1,1,bungalow,Yes,2004,Within a day,,"June 8, 2017",bungalow,,,4,,Long Beach,CA
958017,Cool Beach Rental ~ Coastal Cottage ~ Beautifully Renovated,33.613182,-117.930781,"Balboa Peninsula, Newport Beach, CA, USA",11,,232,299,,,150,10.0%,3,6,2,1,house,Yes,2015,Within an hour,100%,"June 7, 2017",house,,1050,6,,Long Beach,CA
988832,"New listing, steps to the sand!! Coastal decor, quiet area, family/pets ok!",33.6639486,-118.0086376,"Huntington Beach, CA, USA",5,,208,160,,,160,10.0%,2,5,1,1,apartment,Yes,2016,Within an hour,100%,"June 8, 2017",apartment,1,525,5,building,Long Beach,CA
4433583ha,Redondo Beach Ocean Front Condo at the Esplanade,33.8351339,-118.389606,"South Redondo, Redondo Beach, CA, USA",0,,199,199,,,150,,21,4,2,2,condo,Yes,2017,Within a few hours,100%,"June 5, 2017",condo,3,1450,4,building,Long Beach,CA
455241,"Amazing Large Family Home w/Pool, 1 Mile to Disney",33.8218072,-117.9346752,"Southwest Anaheim, Anaheim, CA, USA",42,4.9,480,500,,,200,15.0%,3,13,5,3,house,Yes,2011,Within a few hours,90%,"May 12, 2017",house,,2950,13,,Long Beach,CA
946795,"A Cozy 4BR House, 15mins to Disneyland, 20mins to Huntington Beach beach!",,,"Garden Grove, CA, USA",8,,250,250,300,,150,,2,10,4,2,house,Yes,2016,Within an hour,100%,"June 9, 2017",house,,,10,,Long Beach,CA
561194,"Clean 1B/1B 750 SF retreat near LAX, minutes from Manhattan Beach",33.911989,-118.360282,"Hawthorne, CA, USA",39,4.9,107,105,120,,,12.0%,,4,1,1,apartment,Yes,2014,Within an hour,100%,"June 8, 2017",apartment,1,750,4,,Long Beach,CA
585232,Newly Remodeled - Great Value So Close to the Beach!,33.622433,-117.941763,"West Newport, Newport Beach, CA, USA",10,4.5,275,,,,,,0,7,3,2,house,Yes,2004,Within a day,,"June 9, 2017",house,,1400,7,,Long Beach,CA
589240,Only 139/n June9-14!!SUITE ESCAPES 3! Walk to Disney/Conv Center! Pool!,33.796581,-117.920199,"Anaheim Resort, Anaheim, CA, USA",67,4.9,245,220,,,185,15.0%,3,9,3,2,townhome,Yes,2013,Within 12 hours,100%,"June 8, 2017",townhome,,1400,9,,Long Beach,CA
3866074ha,"Walk with the kids to Disney, Watch Fireworks from the Hot Tub",33.816031,-117.930169,"Hermosa Village, Anaheim, CA, USA",28,4.9,285,285,,,175,15.0%,3,10,4,2,house,Yes,2014,Within an hour,100%,"June 8, 2017",house,,1300,10,,Long Beach,CA
723740,35th Street Beach Home w/ Large Beach View Patio  (lower unit),33.6154983,-117.9343495,"Balboa Peninsula, Newport Beach, CA, USA",10,4.5,258,,,,,,0,8,3,2,house,Yes,2004,Within a day,,"June 8, 2017",house,,,8,,Long Beach,CA
919645,1912 Historical Beach Bungalow,33.715911,-118.068731,"Sunset Beach, Huntington Beach, CA, USA",11,4.9,234,250,,,100,,2,4,1,1,bungalow,Yes,2016,Within a few hours,100%,"June 8, 2017",bungalow,,700,4,,Long Beach,CA
615494,Only 129/n June 9-12!!SUITE ESCAPES 6! Walk 2 Disney/Conv Ctr! Pool!Garage,33.797502,-117.920389,"Anaheim Resort, Anaheim, CA, USA",57,4.9,230,220,,,185,15.0%,3,9,3,2,townhome,Yes,2013,Within a few hours,100%,"June 8, 2017",townhome,,1400,9,,Long Beach,CA
801097,"Oasis 4 Nerds! Mario Brothers, Lego Room!*Summer Specials**$199/Nts.*",33.797011,-117.9389,"Southwest Anaheim, Anaheim, CA, USA",6,4.3,389,,,,,,3,11,4,3,house,Yes,2006,Within an hour,,"June 8, 2017",house,,1700,11,,Long Beach,CA
853645,SUMMER SPECIAL! Newly Remodeled w Brand new Furnishing - Brand New Pool and Spa,33.808642,-117.935098,"Hermosa Village, Anaheim, CA, USA",15,4.6,400,400,,,215,15.0%,3,9,4,2,house,Yes,2015,Within 12 hours,100%,"June 9, 2017",house,,1800,9,,Long Beach,CA
127801,Budget Beach Cottage with flower garden/$1150-1650/week,33.6603,-117.99923,"Huntington Beach, CA, USA",39,4.9,225,190,,,,,2,5,2,1,house,Yes,2001,Within 12 hours,100%,"June 8, 2017",house,,850,5,,Long Beach,CA
3835345ha,"Deluxe Vacation Home in Anaheim w Private Pool and Spa, 2.5 miles to Disneyland",33.817216,-117.879724,"Southeast Anaheim, Anaheim, CA, USA",22,4.1,391,345,,,195,15.0%,3,14,4,3,house,Yes,2014,Within 2 days,90%,"June 9, 2017",house,,2000,14,,Long Beach,CA
904757,SUMMER SPECIAL! Brand New Rental - Newly Remodeled W/ Brand New Pool&Spa,33.8001999,-117.931336,"Southwest Anaheim, Anaheim, CA, USA",9,,525,550,,,250,15.0%,3,15,6,3,house,Yes,2015,Within 12 hours,100%,"June 9, 2017",house,,2800,15,,Long Beach,CA
661235,Pool with Flowing Lazy River & Water Slide! 8 Bedroom Disneyland House!,,,"Sherwood Forest & Thistle Development, Anaheim, CA, USA",17,,,1,,,375,,3,26,8,4,house,Yes,2012,Within 2 days,90%,"June 8, 2017",house,,3500,26,,Long Beach,CA
726481,In Hollywood Riviera Within Walking Distance To Beach And Restaurants.,33.813016,-118.377174,"Redondo Beach, CA, USA",20,4.8,423,395,,,150,,2,8,3,3,house,Yes,2015,Within a few days,100%,"June 7, 2017",house,,2200,8,,Long Beach,CA
800488,Stay at' The Ritz' On Sunset Beach,33.72291501,-118.07628182,"Sunset Beach, Huntington Beach, CA, USA",7,,429,500,,,,9.0%,4,8,3,3,townhome,Yes,2015,Within a few days,70%,"June 8, 2017",townhome,,,8,,Long Beach,CA
834123,Disneyland Single-Family Vacation Home,33.794701,-117.927041,"Southwest Anaheim, Anaheim, CA, USA",11,4.2,202,,,,,,0,6,3,1,house,Yes,2004,Within a day,,"June 8, 2017",house,,1150,6,,Long Beach,CA
4272080ha,2 Bedroom Newly Remodeled Comfy Modern Apartment,,,"Northwest Torrance, Torrance, CA, USA",19,4.9,133,105,115,,,14.0%,2,4,2,1,apartment,Yes,2016,Within an hour,100%,"May 8, 2017",apartment,2,800,4,building,Long Beach,CA
4021868ha,"15% OFF OPEN JUNE- Absolutely Amazing Rooftop Deck,Ocean View,Steps to Beach!",33.614035,-117.930752,"Balboa Peninsula, Newport Beach, CA, USA",4,4.3,367,,,,,,3,8,3,2,condo,Yes,2005,Within an hour,,"June 9, 2017",condo,,1400,8,,Long Beach,CA
747909,Charming Downstairs Beach House,33.6118726,-117.93083,"Balboa Peninsula, Newport Beach, CA, USA",7,4.7,265,,,,,,0,8,3,2,condo,Yes,2004,Within a day,,"June 9, 2017",condo,1,,8,house,Long Beach,CA
876174,Brand new beach cottage steps to the sand,33.6169476,-117.9352807,"Balboa Peninsula, Newport Beach, CA, USA",10,4.8,325,325,,,125,10.0%,2,7,2,1,cottage,Yes,2016,Within an hour,100%,"June 6, 2017",cottage,,,7,,Long Beach,CA
495655,*****Magic Holiday House 3 ~~ JUNE Last Minute Special****^,33.813355,-117.929522,"Hermosa Village, Anaheim, CA, USA",44,4.9,224,199,,,150,15.0%,3,7,2,1,condo,Yes,2012,Within a day,100%,"June 6, 2017",condo,1,960,7,,Long Beach,CA
677060,$189 Jul 3-10 *GVH4*Directly Access2Disney+Stylish+Pool+Spa+Wifi+NetFlix+parking,33.81299844,-117.92935034,"Hermosa Village, Anaheim, CA, USA",45,,207,209,,,155,15.0%,3,9,3,1,townhome,Yes,2015,Within a few hours,100%,"June 6, 2017",townhome,,1170,9,,Long Beach,CA
692482,Newly remodeled home with direct access garage - Beach close,33.65016,-117.924637,"Westside Costa Mesa, Costa Mesa, CA, USA",10,4.5,173,159,,,85,,3,4,2,2,townhome,Yes,2014,Within a few hours,100%,"June 7, 2017",townhome,1,1000,4,,Long Beach,CA
582193,Adorable 3 bedroom 2 1/2 bath Condo with 2 car direct access Garage,33.7969719,-117.92165,"Anaheim Resort, Anaheim, CA, USA",27,4.9,265,275,,,,15.0%,3,9,3,2,condo,Yes,2011,Within 2 days,90%,"June 8, 2017",condo,1,1200,9,,Long Beach,CA
680948,"TRENTON TREASURE: Remodeled, CLEAN, Playset in Backyard, Steps to Disney",33.805236,-117.930542,"Hermosa Village, Anaheim, CA, USA",15,,290,230,270,,185,15.0%,3,9,3,2,house,Yes,2011,Within a few hours,100%,"June 8, 2017",house,,1178,9,,Long Beach,CA
4096107ha,"(252) 4 bdrm with AC- Steps To The Pier, Main Street, Beach And Pacific City",33.65722002,-117.99921449,"Huntington Beach, CA, USA",12,,564,420,,,250,,3,10,4,2,house,Yes,2002,,,"June 1, 2017",house,,3000,10,,Long Beach,CA
819906,On the Doorstep of Disneyland - Sleeps 8,33.81372404,-117.92982608,"Hermosa Village, Anaheim, CA, USA",19,4.8,230,,,,,,3,7,2,2,condo,Yes,2006,Within an hour,,"June 9, 2017",condo,,,7,,Long Beach,CA
867839,In front  of the Anaheim Convention center and walking distance to Disneyland.,33.799155,-117.924221,"Convention Center, Anaheim, CA, USA",15,4.7,313,299,,,200,15.0%,3,9,3,3,house,Yes,2016,Within a few hours,100%,"June 2, 2017",house,,,9,,Long Beach,CA
682859,"Sunny Side Spacious Home, Central in Orange County,In the Heart of Little Saigon",,,"Westminster, CA, USA",9,4.2,257,250,300,,175,10.0%,2,12,4,2,house,Yes,2015,Within a few hours,100%,"June 9, 2017",house,,1700,12,,Long Beach,CA
753937,Elegant Newport Villa - Luxurious Mediterranean Front Main Home  - Sleeps 10,33.618091,-117.936529,"Balboa Peninsula, Newport Beach, CA, USA",5,4.4,446,,,,,,0,10,3,3,house,Yes,2004,Within a day,,"June 8, 2017",house,,,10,house,Long Beach,CA
896809,"A Breath of Fresh Air! Newly-Remodeled Two-story, 2 bedroom Beach Getaway",33.623255,-117.942648,"Newport Beach, CA, USA",6,4.3,300,,,,,,0,6,2,1,condo,Yes,2004,Within a day,,"June 9, 2017",condo,,,6,house,Long Beach,CA
908660,"NEAR  DISNEYLAND, MALLS, BEACHES, FREEWAYS, KNOTTS, AIRPORT  & MORE!",,,"South Coast Metro, CA, USA",3,,250,250,275,,175,11.0%,2,10,3,2,house,Yes,2016,Within a few days,60%,"May 31, 2017",house,,1450,10,,Long Beach,CA
1030153,New property Summer Sale!  6/1-8/12 -  Spacious condo 2 Blocks to the Beach!,33.614038,-117.930757,"Balboa Peninsula, Newport Beach, CA, USA",2,,382,,,,,,2,9,3,3,condo,Yes,2008,Within an hour,,"June 9, 2017",condo,,,9,,Long Beach,CA
381716ha,A Dream Disneyland Vacation Home: Cannot find more Closer house than this one !,33.816441,-117.928696,"Anaheim Resort, Anaheim, CA, USA",14,4.7,193,195,,,,15.0%,3,9,3,2,house,Yes,2009,Within a day,100%,"June 4, 2017",house,,2080,9,,Long Beach,CA
584251,"Manhattan Beach Live like a local - Best Location, Views, And Price!",33.886665,-118.405997,"Hill Section, Manhattan Beach, CA, USA",35,,326,300,,,,,3,6,2,2,apartment,Yes,2014,Within a few hours,100%,"June 6, 2017",apartment,2,1100,6,,Long Beach,CA
773234,Charming Upstairs Ocean View Beach House - Sleeps 10!,33.6118726,-117.93083,"Balboa Peninsula, Newport Beach, CA, USA",17,4.4,550,,,,,,0,10,3,3,condo,Yes,2004,Within a day,,"June 9, 2017",condo,2,2200,10,house,Long Beach,CA
4155238ha,"Impressive 1Br/ 1Ba  Apartment Entirely Yours, Located in Los Angeles, Ca.",33.93727411,-118.31006366,"South Los Angeles, Los Angeles, CA, USA",13,4.8,110,110,,,,9.0%,2,4,1,1,apartment,Yes,2016,Within 12 hours,100%,"June 8, 2017",apartment,,,4,,Long Beach,CA
758030,Sun and Surf!**Ultimate Beach Cottage**Walk to the Beach*Specials!*$179/Nt*,33.6672451,-118.0032523,"Huntington Beach, CA, USA",11,4.3,363,,,,,,3,8,3,2,house,Yes,2006,Within an hour,,"June 8, 2017",house,,,8,,Long Beach,CA
924908,Spacious Modern Vacation Home with Central Air/Heat,33.6141774,-117.9292619,"Balboa Peninsula, Newport Beach, CA, USA",3,,442,,,,150,,30,8,3,3,house,Yes,2015,Within 2 days,90%,"April 30, 2017",house,,2200,8,,Long Beach,CA
7106289ha,Luxury Disney Family Retreat - Best Value and Special Rates with many Extras!!!,33.957553,-117.976412,"East Whitter, Whittier, CA, USA",40,4.8,143,150,,,,,5,8,2,1,house,Yes,2012,Within an hour,90%,"June 8, 2017",house,,1300,8,,Long Beach,CA
460048,"Amazing 5 bedroom, 1/2 Mile To Disneyland 1/4 mile to Anaheim Convention Ctr",33.801204,-117.925264,"Convention Center, Anaheim, CA, USA",53,4.9,425,525,,,200,15.0%,3,13,5,3,house,Yes,2011,Within 12 hours,90%,"June 5, 2017",house,,2500,13,,Long Beach,CA
3911529ha,"Trenton - 4 Bd w/ pool, hot tub, fire pit + games!",33.805228,-117.931853,"Hermosa Village, Anaheim, CA, USA",17,4.7,376,,,,,,3,11,4,2,house,Yes,2015,Within an hour,,"June 9, 2017",house,,1651,11,,Long Beach,CA
783187,Summertime Special until 6/15! Big Beautiful 5bed/3bath/Pool/Spa! 1Mi. to Disney,,,"Southwest Anaheim, Anaheim, CA, USA",11,,509,595,,,,,3,15,5,3,house,Yes,2013,,,"June 8, 2017",house,,2700,15,,Long Beach,CA
856596,Fantastic 6 bedroom 4 bath Pool Home,33.8116739,-117.93596,"Hermosa Village, Anaheim, CA, USA",8,4.9,585,650,,,,15.0%,3,15,6,4,house,Yes,2011,Within 12 hours,100%,"June 1, 2017",house,,2450,15,,Long Beach,CA
903725,Private 2 bedroom Cottage- 6 miles to DISNEYLAND,33.87303713,-117.91126411,"Fullerton, CA, USA",10,4.9,140,149,,,59,,1,6,2,1,house,Yes,2016,Within an hour,90%,"June 9, 2017",house,,730,6,,Long Beach,CA
3907434ha,Maverick- 4 Bd/2 Ba,33.8240989,-117.879213,"Southeast Anaheim, Anaheim, CA, USA",18,4.7,299,,,,,,3,11,4,2,house,Yes,2015,Within an hour,,"June 9, 2017",house,,,11,,Long Beach,CA
32777,Favorite Family Vacation Beach Home (lower unit),33.6158638,-117.93440247,"Balboa Peninsula, Newport Beach, CA, USA",29,4.8,275,,,,,,0,8,3,2,house,Yes,2004,Within a day,,"June 9, 2017",house,,,8,,Long Beach,CA
477700,"BEST LOCATION !,CA
LUXURIOUS SEAL BEACH GETAWAY ,CA
****BOOKING NOW ****",33.738589,-118.101163,"Old Towne, Seal Beach, CA, USA",28,,414,350,,,200,12.0%,2,6,3,3,house,Yes,2013,Within an hour,100%,"June 8, 2017",house,,2000,6,,Long Beach,CA
3781265ha,$350 July 5 to 12!  WALK to Disneyland and Convention Center......14 BEDS!,33.797361,-117.930909,"Southwest Anaheim, Anaheim, CA, USA",14,4.7,320,250,,,295,15.0%,3,11,4,2,house,Yes,2014,Within a few hours,100%,"June 7, 2017",house,,2200,,,Long Beach,CA
670655,"Magnificent 5 Bed 3.5 Bath Disneyland Estate, Sleeps 13, 1/2 mile to Disneyland",33.82247,-117.92936,"Southwest Anaheim, Anaheim, CA, USA",24,4.9,456,495,,,275,15.0%,3,13,5,3,house,Yes,2015,Within an hour,100%,"June 9, 2017",house,,2800,13,,Long Beach,CA
903250,Fun And Clean Place By Disneyland California,33.7715828,-117.9781039,"Garden Grove, CA, USA",8,4.8,205,205,,,130,,,8,3,3,house,Yes,2016,Within a few hours,100%,"June 5, 2017",house,,1404,,,Long Beach,CA
509964,"Sweet 5 Bedroom, 4 Bath Pool Home 1/2 Mile Walk To Disney",33.812002,-117.936381,"Hermosa Village, Anaheim, CA, USA",28,4.8,446,525,,,200,15.0%,3,13,5,3,house,Yes,2011,Within 12 hours,80%,"May 28, 2017",house,,2200,13,,Long Beach,CA
561779,Fantastic 5 Bedroom 4 bath home with new Pool & Jacuzzi,33.82278518,-117.983781,"Southwest Anaheim, Anaheim, CA, USA",30,4.8,462,500,,,200,15.0%,3,13,5,4,house,Yes,2011,Within a few hours,90%,"June 7, 2017",house,,2800,13,,Long Beach,CA
733364,Huge townhome by the beach - a top HB favorite!,33.66722853,-118.01272409,"Huntington Beach, CA, USA",19,4.9,225,200,250,,,10.0%,2,6,2,2,townhome,Yes,2015,Within a day,90%,"May 28, 2017",townhome,,1600,6,building,Long Beach,CA
4172809ha,Luxurious 1-Bedroom Suite - Steps away from Hermosa Beach Strand and Pier,33.86122202,-118.40027196,"Hermosa Beach, CA, USA",1,,275,275,,,150,,3,4,1,1,apartment,Yes,2016,Within an hour,100%,"June 7, 2017",apartment,1,,4,building,Long Beach,CA
45163,Check our calendars and inquire and we will give you the best discounts around!,33.72317886,-117.99053955,"Washington, Huntington Beach, CA, USA",24,,264,350,,,150,10.0%,3,12,4,3,house,Yes,2003,Within a few hours,100%,"June 9, 2017",house,,,12,,Long Beach,CA
208129ha,Walk to Disneyland see the fireworks from the pool with waterfalls,33.822152,-117.926287,"Southwest Anaheim, Anaheim, CA, USA",52,4.4,325,325,,,175,15.0%,4,11,4,3,house,Yes,2008,Within 12 hours,90%,"June 9, 2017",house,,1927,11,,Long Beach,CA
3572749ha,"Historic 1880 Guest Cottage -1.5 Miles to Disney, Free Wifi, read more",33.8286821,-117.9127235,"Anaheim Colony Historic District, Anaheim, CA, USA",65,,129,125,145,,114,15.0%,3,4,1,1,cottage,Yes,2013,Within a few hours,90%,"June 7, 2017",cottage,,740,4,,Long Beach,CA
3861682ha,"Elegant home, 3 mi. fr. Disneyland- 4 mi. fr. Little Saigon-100% remodeled",33.76774116,-117.92407149,"Garden Grove, CA, USA",35,4.8,221,205,225,,,,3,9,3,2,house,Yes,2014,Within a few hours,100%,"June 9, 2017",house,,1250,,,Long Beach,CA
3952679ha,Closest Home to Convention Center/Disneyland! 5BR/3BA Modern Home,,,"Convention Center, Anaheim, CA, USA",50,4.8,399,375,425,,200,15.0%,3,20,5,3,house,Yes,2015,Within a few hours,100%,"June 9, 2017",house,,2000,,,Long Beach,CA
770868,"Charming home, walk to Disneyland/Convention",33.797054,-117.924596,"Convention Center, Anaheim, CA, USA",23,4.7,193,215,,,125,,3,6,2,1,house,Yes,2015,Within a few hours,90%,"June 9, 2017",house,,,6,,Long Beach,CA
4383058ha,"Centrally located condo in Cypress CA. Close to Frwy, Beaches and Theme Parks.",33.7982107,-118.0178714,"Cypress, CA, USA",8,,136,150,,,,,3,4,1,1,townhome,Yes,2016,Within an hour,100%,"June 8, 2017",townhome,,1400,4,building,Long Beach,CA
474451,Awesome Pool Home 1/4 Mile To Disney Tram on Magic Way,33.815703,-117.929773,"Hermosa Village, Anaheim, CA, USA",58,4.8,487,550,,,225,15.0%,3,13,5,3,house,Yes,2011,Within a day,90%,"June 8, 2017",house,,2400,13,,Long Beach,CA
481861,Newly Remodeled Beachside Vacation Rental Right Off The Famous Strand,,,"Hermosa Beach, CA, USA",37,4.6,150,,,,,,30,5,1,1,townhome,Yes,2013,Within a few days,100%,"May 24, 2017",townhome,1,750,5,,Long Beach,CA
790572,Brand New 2016 Built - Super Close to Disneyland and Downtown Disney,33.8176,-117.929087,"Hermosa Village, Anaheim, CA, USA",11,4.9,525,495,,,250,15.0%,3,17,5,4,house,Yes,2013,Within a day,100%,"June 8, 2017",house,,2800,17,,Long Beach,CA
864853,Gorgeous Beach House,33.6629156,-117.9981321,"Huntington Beach, CA, USA",11,,393,375,,,175,6.0%,4,8,3,2,house,Yes,2016,Within a day,100%,"June 8, 2017",house,,2200,8,,Long Beach,CA
4220294ha,JULY 4th WEEK STILL OPEN - Family Beach Home on the SAND with Large Balcony,33.618329,-117.937536,"Balboa Peninsula, Newport Beach, CA, USA",5,4.2,850,,,,,,3,12,5,3,house,Yes,2005,Within an hour,,"June 9, 2017",house,,,12,,Long Beach,CA
7057391ha,"Treasured Gem - Sleeps 10, CLEAN, only 3 houses to Beach",33.620722,-117.939322,"Balboa Peninsula, Newport Beach, CA, USA",19,,518,444,474,,250,10.0%,3,11,4,3,house,Yes,2007,Within 12 hours,100%,"June 8, 2017",house,,1300,11,,Long Beach,CA
3487078ha,"Arts/Craft Bungalow, Walk to D-land,",33.8219205,-117.9295837,"Southwest Anaheim, Anaheim, CA, USA",82,4.9,336,329,349,,,15.0%,3,9,3,2,house,Yes,2012,Within a day,100%,"June 6, 2017",house,,1500,,,Long Beach,CA
582189,"Awesome 4 Bedroom, 3 1/2 Bath Home 1/2 Mile Walk To Disney",33.812487,-117.934155,"Hermosa Village, Anaheim, CA, USA",34,4.9,425,425,,,175,15.0%,3,11,4,3,house,Yes,2011,Within a few days,60%,"May 7, 2017",house,,2000,11,,Long Beach,CA
648418,"Luxurious 4400 sqft house Disneyland, Knotts, water park, beach,  Kid's rooms",,,"Southwest Anaheim, Anaheim, CA, USA",40,,596,595,,,,15.0%,3,15,6,6,house,Yes,2014,Within an hour,100%,"June 9, 2017",house,,4000,15,,Long Beach,CA
665083,(#249) 3 Story Dream Beach Home 1 block from the beach and Restaurants,,,"Huntington Beach, CA, USA",24,4.9,590,590,,,,,5,12,4,3,house,Yes,2002,Within a few hours,100%,"June 8, 2017",house,,3000,12,,Long Beach,CA
9003,Beautiful Beach House /300 yards to the beach / 1250-1950/wk,,,"Huntington Beach, CA, USA",44,4.8,279,225,,,,,2,6,2,2,house,Yes,2001,Within 12 hours,100%,"June 1, 2017",house,,1700,6,,Long Beach,CA
734087,"Contemporary, New Build,  Manhattan Beachfront Paradise",33.895074,-118.4173766,"Sand Section, Manhattan Beach, CA, USA",22,,150,,,,,,30,2,1,1,apartment,Yes,2015,Within 12 hours,88%,"June 9, 2017",apartment,2,800,2,house,Long Beach,CA
293166ha,3 Bedroom Ocean View North Manhattan,33.90151733,-118.41846625,"El Porto, Manhattan Beach, CA, USA",11,,492,,,,,3.0%,7,7,3,2,house,Yes,2008,Within 12 hours,100%,"June 9, 2017",house,,1800,7,,Long Beach,CA
333842ha,"Spacious 1600 sqft, Private, Bright, Fun~Beach @ 1 Mile~Bikes",33.665974,-117.980133,"Huntington Beach, CA, USA",27,4.5,318,175,,,,12.0%,3,10,3,2,condo,Yes,2010,Within 2 days,90%,"June 8, 2017",condo,,1600,10,,Long Beach,CA
597947,Funtierland 33 + Pool/Waterslide/Hot Tub/Splashpad + FREE WiFi/Netflix,33.8279344,-117.9255733,"Southwest Anaheim, Anaheim, CA, USA",13,4.6,454,399,,,250,15.0%,3,15,6,4,house,Yes,2011,Within a few hours,100%,"June 8, 2017",house,,2200,15,,Long Beach,CA
715280,Cozy Beach Bungalow. HIKE to this BEACH! Pets Welcome!,33.80430868,-118.37723568,"Redondo Beach, CA, USA",7,4.9,104,95,125,,,11.0%,3,3,1,1,cottage,Yes,2014,Within an hour,100%,"June 1, 2017",cottage,,600,,cottage,Long Beach,CA
749379,"Close 2 the beach, away from crowds",33.666092,-118.007272,"Huntington Beach, CA, USA",15,,250,195,245,,125,,3,5,2,2,apartment,Yes,2015,Within 12 hours,100%,"June 8, 2017",apartment,2,900,5,building,Long Beach,CA
242386,'California Dreamin' *Ocean Views*JUNE SPECIAL🌴!,,,"Old Towne, Seal Beach, CA, USA",31,4.9,385,350,,,,12.0%,2,7,3,3,house,Yes,2009,Within 2 days,80%,"June 7, 2017",house,,2600,7,,Long Beach,CA
476878,Large Family Pool Home 2.5 Miles To Disney w/3 King Beds!!!,33.812643,-117.956824,"Southwest Anaheim, Anaheim, CA, USA",27,4.7,413,500,,,200,15.0%,3,13,5,3,house,Yes,2011,Within a few days,80%,"May 18, 2017",house,,2500,13,,Long Beach,CA
579625,Five Bedroom Beach View Unit w Rooftop Deck - 1 house to the Beach - sleeps 13,33.6154983,-117.9343495,"Balboa Peninsula, Newport Beach, CA, USA",15,4.9,386,,,,,,0,13,5,2,house,Yes,2004,Within a day,,"June 8, 2017",house,,1500,13,,Long Beach,CA
882338,"SUMMER SPECIAL!  Brand New, Remodeled Historical Home - HOT TUB",33.8252614,-117.9208952,"Anaheim Colony Historic District, Anaheim, CA, USA",7,,320,325,,,215,15.0%,3,9,4,2,house,Yes,2015,Within 12 hours,100%,"June 9, 2017",house,,1700,9,,Long Beach,CA
169728,Gary's Paradise Beach House,33.6151619,-117.93334198,"Balboa Peninsula, Newport Beach, CA, USA",21,4.8,300,300,300,,300,,3,6,3,2,house,Yes,2008,Within a few hours,100%,"May 2, 2017",house,,,6,,Long Beach,CA
494834,"Gorgeous Disney Themed House! Private Pool/Spa, Close to Disneyland",33.82247623,-117.93488503,"Southwest Anaheim, Anaheim, CA, USA",60,4.9,330,325,350,,175,15.0%,3,9,4,2,house,Yes,2013,Within a few hours,100%,"June 7, 2017",house,,2000,9,,Long Beach,CA
3685169ha,Waterfront Home In Huntington Beach,,,"Gilbert Island, Huntington Beach, CA, USA",13,,650,,,,300,,5,10,5,4,house,Yes,2014,Within a day,90%,"June 7, 2017",house,,3713,10,,Long Beach,CA
729891,3b/2.5bth-Large Home  - Close to Venice!,,,"South Los Angeles, Los Angeles, CA, USA",16,4.9,200,,,,,,3,8,3,2,house,Yes,2010,Within a day,,"June 9, 2017",house,,,8,,Long Beach,CA
4227991ha,LARGE PATIO to BBQ in NEWPORT BEACH CENTRAL LOCATION BEST Single Family Home!,33.6177092,-117.9308068,"Balboa Peninsula, Newport Beach, CA, USA",7,4.9,374,,,,,,2,12,4,2,house,Yes,2015,Within an hour,,"June 8, 2017",house,,2000,12,,Long Beach,CA
597946,Funtierland 32 + Pool w/Waterslide + Splash Pad + Hot Tub + FREE WiFi/Netflix﻿,33.8280023,-117.9255957,"Southwest Anaheim, Anaheim, CA, USA",10,4.9,449,399,,,250,15.0%,3,15,6,4,house,Yes,2011,Within an hour,100%,"June 8, 2017",house,,2200,15,,Long Beach,CA
596601,"Family Home Near Disneyland, Private Pool by 18 hole Golf, Movies, Shops, Safe",33.900458,-118.000705,"La Mirada, CA, USA",21,4.6,350,275,325,,125,10.0%,3,14,4,2,house,Yes,2015,Within an hour,100%,"June 4, 2017",house,,1750,14,,Long Beach,CA
678717,"On the Sand, with Endless Ocean Views!",33.737792,-118.103074,"Old Towne, Seal Beach, CA, USA",1,,374,,,,,,7,7,3,2,condo,Yes,2015,Within a few hours,100%,"June 8, 2017",condo,2,1400,,house,Long Beach,CA
321323,"Exceptionally Clean, Comfortable, Steps-to-the Beach",33.61191177,-117.93080139,"Balboa Peninsula, Newport Beach, CA, USA",30,,303,295,,,185,10.0%,3,8,3,2,condo,Yes,2010,Within 12 hours,100%,"June 8, 2017",condo,1,,8,building,Long Beach,CA
340177,Steps to the sand!  Luxury oceanview home on walk street!,33.87969208,-118.40739441,"Sand Section, Manhattan Beach, CA, USA",29,,455,443,,,100,,7,4,2,2,house,Yes,2011,Within a few days,100%,"June 1, 2017",house,,1500,4,,Long Beach,CA
753938,Rear Craftsman-Style Luxury Vacation Bungalow - Sleeps 12!,33.618091,-117.936529,"Balboa Peninsula, Newport Beach, CA, USA",3,4.7,436,,,,,,0,12,4,2,bungalow,Yes,2004,Within a day,,"June 8, 2017",bungalow,,,12,,Long Beach,CA
